city,year,field,Period,block,plot,covercrop,seq2,depth,pH,P,SOM,DB,WAS,TN,NO3,RP
Urbana,2003,1,soybean,3,11,fallow,0,5-10cm,6.14,48,38.3,1.39,48.7,0.16,4.8,2216
Urbana,2003,1,soybean,3,12,mix,1,5-10cm,5.96,36,36.7,1.29,49.3,0.15,0.8,2024
Urbana,2003,1,soybean,4,13,fallow,0,5-10cm,6.36,39,42.5,1.46,52.3,0.16,10.4,1887
Urbana,2003,1,soybean,4,14,rye,1,5-10cm,5.38,50,43,1.33,51.3,0.16,5.6,1691
Urbana,2003,1,soybean,4,15,vetch,1,5-10cm,5.07,52,43.3,1.29,49.4,0.16,0.5,3119
Urbana,2003,1,soybean,4,16,mix,1,5-10cm,5.52,33,39.5,1.31,53.4,0.17,1.2,2998
Urbana,2003,2,corn,1,17,vetch,1,5-10cm,5.89,37,47.2,1.44,51.7,0.17,0.2,2295
Urbana,2003,2,corn,1,18,fallow,0,5-10cm,6,40,40.5,1.5,43.4,0.13,2.3,2268
Urbana,2003,2,corn,1,19,rye,1,5-10cm,7.01,28,38.8,1.37,41.7,0.15,1.7,1687
Urbana,2003,2,corn,1,20,mix,1,5-10cm,5.4,41,41.4,1.26,51.4,0.17,2.3,1953
Urbana,2003,2,corn,2,21,vetch,1,5-10cm,5.58,32,41.2,1.21,60.6,0.17,1.6,2196
Urbana,2003,2,corn,2,22,mix,1,5-10cm,6.1,20,46.7,1.4,57.9,0.15,1.4,2304
Urbana,2003,2,corn,2,23,rye,1,5-10cm,5.75,32,36.5,1.35,45.7,0.14,2.1,2323
Urbana,2003,2,corn,2,24,fallow,0,5-10cm,5.69,34,32.4,1.33,40,0.15,15.5,2067
Urbana,2003,2,corn,3,25,vetch,1,5-10cm,5.16,34,38.2,1.2,27.3,0.15,2.9,1706
Urbana,2003,2,corn,3,26,mix,1,5-10cm,6.87,25,40.4,1.45,47.7,0.13,2.5,2253
Urbana,2003,2,corn,3,27,rye,1,5-10cm,6.54,26,31.2,1.28,51.6,0.14,3.2,2230
Urbana,2003,2,corn,3,28,fallow,0,5-10cm,5.94,34,34.2,1.18,49.6,0.17,6.7,2305
Urbana,2003,2,corn,4,29,mix,1,5-10cm,5.07,27,40.4,1.35,41.1,0.12,2.7,2521
Urbana,2003,2,corn,4,30,rye,1,5-10cm,5.8,22,30.4,1.49,30.7,0.11,3.1,2476
Urbana,2003,2,corn,4,31,fallow,0,5-10cm,6.54,23,31.5,1.42,23.4,0.11,2,2148
Urbana,2003,2,corn,4,32,vetch,1,5-10cm,6.07,28,32.6,1.36,30.4,0.14,1,2651
Brownstown,2002,1,soybean,1,1,mix,1,5-10cm,6.22,44,34.1,1.29,46.4,0.12,8.1,946
Brownstown,2002,1,soybean,1,2,fallow,0,5-10cm,6.18,42,23.8,1.33,44,0.12,0.9,848
Brownstown,2002,1,soybean,1,3,vetch,1,5-10cm,5.08,48,22.9,1.4,38.4,0.16,1.8,826
Brownstown,2002,1,soybean,1,4,rye,1,5-10cm,5.13,39,33.2,1.2,42.4,0.2,0.3,933
Brownstown,2002,1,soybean,2,5,rye,1,5-10cm,5.56,38,30.1,1.28,56.9,0.11,0.4,869
Brownstown,2002,1,soybean,2,6,mix,1,5-10cm,5.34,49,30,1.47,37.1,0.1,0.3,771
Brownstown,2002,1,soybean,2,7,fallow,0,5-10cm,5.69,39,23.6,1.36,40.1,0.1,0.3,897
Brownstown,2002,1,soybean,2,8,vetch,1,5-10cm,5.84,44,27.4,1.29,40.2,0.1,1.7,1039
Brownstown,2002,1,soybean,3,9,rye,1,5-10cm,5.72,34,32.4,1.37,43,0.1,2.2,914
Brownstown,2002,1,soybean,3,10,vetch,1,5-10cm,5.75,29,29.6,1.43,44.5,0.1,0.5,1025
Brownstown,2002,1,soybean,3,11,fallow,0,5-10cm,4.81,81,25.1,1.35,38.7,0.1,1,933
Brownstown,2002,1,soybean,3,12,mix,1,5-10cm,5.57,54,25.1,1.34,36.5,0.11,0.2,1043
Brownstown,2002,1,soybean,4,13,fallow,0,5-10cm,4.99,52,31.1,1.27,42.6,0.11,0.8,1039
Brownstown,2002,1,soybean,4,14,rye,1,5-10cm,5.04,42,23.3,1.19,40.1,0.1,0.3,915
Brownstown,2002,1,soybean,4,15,vetch,1,5-10cm,5.64,42,25,1.38,36.4,0.11,1.1,1016
Brownstown,2002,1,soybean,4,16,mix,1,5-10cm,6.37,38,27.5,1.5,39.4,0.1,0.5,1012
Brownstown,2002,2,corn,1,17,vetch,1,5-10cm,5.19,34,27.3,1.3,47.2,0.12,14.5,958
Brownstown,2002,2,corn,1,18,fallow,0,5-10cm,5.76,36,27.2,1.43,56.2,0.1,0.4,858
Brownstown,2002,2,corn,1,19,rye,1,5-10cm,4.53,34,24.6,1.44,56.6,0.1,32.2,917
Brownstown,2002,2,corn,1,20,mix,1,5-10cm,6.67,30,24.8,1.4,54.1,0.11,1,1066
Brownstown,2002,2,corn,2,21,vetch,1,5-10cm,6.44,28,30.7,1.43,57,0.11,0.7,1009
